date,code,year,month,day,rcc,gcc
2019-06-25 00:00:00,jir011,2019,6,25,0.3269151316588227,0.3893818891894818
2019-06-26 00:00:00,jir011,2019,6,26,0.3409596793622063,0.3747305093187128
2019-06-26 00:00:00,jir011,2019,6,26,0.3368408194689773,0.3478566340708255
2019-06-26 00:00:00,jir011,2019,6,26,0.3399735177922661,0.3611281105210895
2019-06-27 00:00:00,jir011,2019,6,27,0.3392963206547456,0.3578855120576407
2019-06-27 00:00:00,jir011,2019,6,27,0.345191505492241,0.3691346227552259
2019-06-27 00:00:00,jir011,2019,6,27,0.3468791034912574,0.3751820474931349
2019-06-27 00:00:00,jir011,2019,6,27,0.3428257145396418,0.359944638882377
2019-06-27 00:00:00,jir011,2019,6,27,0.3426607179549455,0.3798939029097894
2019-06-27 00:00:00,jir011,2019,6,27,0.3414209348742416,0.3639540100793727
2019-06-27 00:00:00,jir011,2019,6,27,0.3571810422398167,0.4121770360552654
2019-06-27 00:00:00,jir011,2019,6,27,0.3568720942611246,0.4006773038436431
2019-06-27 00:00:00,jir011,2019,6,27,0.3588558004158138,0.4161840751698404
2019-06-27 00:00:00,jir011,2019,6,27,0.3520663808447196,0.3986359948443905
2019-06-27 00:00:00,jir011,2019,6,27,0.3662774731260504,0.4103576802059707
2019-06-28 00:00:00,jir011,2019,6,28,0.346446378510128,0.4027124973213848
2019-06-28 00:00:00,jir011,2019,6,28,0.3036073660028346,0.3652255310846579
2019-06-28 00:00:00,jir011,2019,6,28,0.3367961917257756,0.4123301731818141
2019-06-28 00:00:00,jir011,2019,6,28,0.3365750266626413,0.42017150517459
2019-06-28 00:00:00,jir011,2019,6,28,0.3476176230688008,0.3980176434113449
2019-06-28 00:00:00,jir011,2019,6,28,0.3579759551486794,0.3995958226472825
2019-06-28 00:00:00,jir011,2019,6,28,0.350528989741977,0.3985714389344157
2019-06-28 00:00:00,jir011,2019,6,28,0.3369329200622634,0.3976023589578646
2019-06-28 00:00:00,jir011,2019,6,28,0.3465603107711422,0.3895139174034944
2019-06-28 00:00:00,jir011,2019,6,28,0.3461118694430669,0.3985738906239964
2019-06-28 00:00:00,jir011,2019,6,28,0.3218583326935694,0.3745892468813817
2019-06-29 00:00:00,jir011,2019,6,29,0.3377483501054046,0.3700688119107506
2019-06-29 00:00:00,jir011,2019,6,29,0.3424367792245856,0.3714650055053011
2019-06-29 00:00:00,jir011,2019,6,29,0.346671102609879,0.3764493059467187
2019-06-29 00:00:00,jir011,2019,6,29,0.3388809332681219,0.3622893934411196
2019-06-29 00:00:00,jir011,2019,6,29,0.3376624564704831,0.360882037926589
2019-06-29 00:00:00,jir011,2019,6,29,0.3365670276261649,0.3600739420688351
2019-06-29 00:00:00,jir011,2019,6,29,0.3382560534927841,0.3600390208944069
2019-06-29 00:00:00,jir011,2019,6,29,0.337868691162136,0.3670775257274273
2019-06-30 00:00:00,jir011,2019,6,30,0.3387661195589037,0.3807138259677556
2019-06-30 00:00:00,jir011,2019,6,30,0.3363002334388625,0.3872041468558192
2019-06-30 00:00:00,jir011,2019,6,30,0.3463175577169001,0.3690271600325132
2019-06-30 00:00:00,jir011,2019,6,30,0.3457685391668352,0.3970426130978084
2019-06-30 00:00:00,jir011,2019,6,30,0.3469970096893355,0.3983406260115218
2019-06-30 00:00:00,jir011,2019,6,30,0.3444944855991421,0.4069918433117981
2019-06-30 00:00:00,jir011,2019,6,30,0.3533450998638505,0.4031450350452119
2019-06-30 00:00:00,jir011,2019,6,30,0.3541907752487539,0.396365794776559
2019-06-30 00:00:00,jir011,2019,6,30,0.3549316443668048,0.3969899727182115
2019-06-30 00:00:00,jir011,2019,6,30,0.3626647863359551,0.4029930570273343
2019-05-01 00:00:00,jir011,2019,5,1,0.3160173367252845,0.3294533004817031
2019-05-05 00:00:00,jir011,2019,5,5,0.288892105524213,0.3363098616566357
2019-05-05 00:00:00,jir011,2019,5,5,0.289380351001324,0.3337364092051105
2019-05-05 00:00:00,jir011,2019,5,5,0.3141091300492888,0.3369407400273123
2019-05-05 00:00:00,jir011,2019,5,5,0.3336554093885633,0.3374792497918894
2019-05-06 00:00:00,jir011,2019,5,6,0.3321866601010202,0.3362977206150163
2019-05-06 00:00:00,jir011,2019,5,6,0.3356013820807167,0.3367192519970325
2019-05-06 00:00:00,jir011,2019,5,6,0.2802615768518347,0.3352073794134915
2019-05-06 00:00:00,jir011,2019,5,6,0.2737520503793668,0.3326530047684292
2019-05-07 00:00:00,jir011,2019,5,7,0.3086540422853163,0.3343539403153764
2019-05-07 00:00:00,jir011,2019,5,7,0.2974716091416455,0.3366800564041621
2019-05-07 00:00:00,jir011,2019,5,7,0.2940772442800415,0.3372728675759727
2019-05-07 00:00:00,jir011,2019,5,7,0.2895401122935425,0.337586984394803
2019-05-07 00:00:00,jir011,2019,5,7,0.2899798043374551,0.3386661084915522
2019-05-07 00:00:00,jir011,2019,5,7,0.2912834187663898,0.3388326605310072
2019-05-07 00:00:00,jir011,2019,5,7,0.2861803534189799,0.3385642773738717
2019-05-07 00:00:00,jir011,2019,5,7,0.2740772083517534,0.336702957256016
2019-05-07 00:00:00,jir011,2019,5,7,0.2688464965261091,0.334726327816688
2019-05-07 00:00:00,jir011,2019,5,7,0.2543827470257954,0.3304031008426368
